Sample	Uniquely mapped	Mapped to multiple loci	Mapped to too many loci	Unmapped: too many mismatches	Unmapped: too short	Unmapped: other
SRPK3_EM__1	31384063.0	1287746.0	568.0	22461.0	303221.0	22461.0
SRPK3_JAP_1	32313097.0	1407136.0	668.0	19410.0	278205.0	32349.0
SRPK3_USA_1	75067394.0	3884955.0	3923.0	233762.0	1924040.0	71927.0
SWE_36223_1	54887610.0	5804754.0	8044.0	119802.0	496324.0	85573.0
SWE_36326_1	57270830.0	4128967.0	5054.0	146028.0	675380.0	91268.0
T1244	31522255.0	2087200.0	4720.0	42786.0	427859.0	34229.0
T238	39121330.0	2927906.0	3447.0	54905.0	512447.0	27453.0
T757	28387363.0	1861413.0	8112.0	48537.0	436832.0	41603.0
T850	29858555.0	1978299.0	4144.0	43012.0	437289.0	28675.0
T892	29346412.0	2146654.0	7840.0	51962.0	460233.0	29692.0
TOP_MAAC031_F_Muscle1	89066326.0	8424330.0	80151.0	255802.0	4754904.0	45141.0
UC223-1RNA	31600430.0	2385699.0	3360.0	25344.0	878583.0	25344.0
UC305-1M	52923181.0	5287493.0	7240.0	172322.0	1273687.0	7492.0
UC316-1M	46884104.0	2698574.0	4230.0	150717.0	1023623.0	12560.0
UC368-1M	61459541.0	5984352.0	9127.0	207266.0	1558642.0	41453.0
UC393-1M	55076584.0	4736049.0	13826.0	170862.0	1270319.0	14858.0
UC84-1RNA	24669948.0	1806985.0	1200.0	20059.0	671967.0	20059.0
UWA_FAM7_PT_D16-1243_2	75981057.0	7224097.0	10745.0	62848.0	1269540.0	125697.0
VCGS_DLS_FAM1_1	67883243.0	3796304.0	4126.0	40853.0	517469.0	81706.0
VCGS_FAM11_32_2	41482712.0	2730938.0	4598.0	73841.0	675119.0	42195.0
VCGS_FAM12_36_2	46803015.0	5709937.0	6390.0	69916.0	675859.0	34958.0
VCGS_FAM147_459_2	57467235.0	3159459.0	4221.0	36453.0	947783.0	109360.0
VCGS_FAM148_462_2	69542498.0	3196978.0	4672.0	53159.0	664491.0	132898.0
VCGS_FAM149_465_2	70006644.0	4165384.0	4920.0	24510.0	698530.0	49020.0
VCGS_FAM150_468_2	73054675.0	3812918.0	5995.0	34664.0	814603.0	86660.0
VCGS_FAM1_1_2	47829945.0	3355133.0	3527.0	91472.0	718709.0	39202.0
VCGS_FAM22_69_2	54122622.0	3076638.0	26657.0	86641.0	736452.0	64981.0
VCGS_FAM26_81_2	40656927.0	2335691.0	24447.0	77305.0	521811.0	38653.0
VCGS_FAM27_84_2	39730841.0	2215937.0	3036.0	58284.0	524553.0	38856.0
VCGS_FAM29_90	42194754.0	3359162.0	2431.0	17967.0	952267.0	89837.0
VCGS_FAM2_4_2	65806691.0	3614388.0	4066.0	17441.0	1709265.0	52324.0
VCGS_FAM31_97_2	44110513.0	3886154.0	5523.0	54423.0	676398.0	23324.0
VCGS_FAM39_123	34310782.0	2790298.0	3704.0	14708.0	705992.0	58833.0
VCGS_FAM3_7_2	72447776.0	4056164.0	6033.0	50080.0	1527449.0	125201.0
VCGS_FAM41_129_2	36904923.0	3404022.0	2568.0	64270.0	569247.0	27544.0
VCGS_FAM42_132_2	40725277.0	2385287.0	10123.0	74350.0	616046.0	42486.0
VCGS_FAM49_153	47066614.0	3262118.0	2000.0	18590.0	855154.0	74361.0
VCGS_FAM4_13_2	47543477.0	3411514.0	3023.0	76739.0	754605.0	38370.0
VCGS_FAM52_162_3	64722822.0	3879069.0	4160.0	27016.0	513308.0	40524.0
VCGS_FAM58_181	43180988.0	2611916.0	2025.0	11941.0	1014968.0	59704.0
VCGS_FAM61_190	54254866.0	3324892.0	5986.0	21721.0	781951.0	108604.0
VCGS_FAM67_209	45656955.0	2932023.0	3847.0	15194.0	835662.0	75969.0
VCGS_FAM73_227_2	66180262.0	3700275.0	4113.0	52767.0	606822.0	105534.0
VCGS_FAM84_260	34156212.0	1917795.0	4517.0	11925.0	536631.0	83476.0
VIL_17_097	53437655.0	3014648.0	1812.0	50421.0	932792.0	226895.0
VIL_17_098	44443913.0	2193927.0	2862.0	38192.0	515595.0	133673.0
VIL_17_099	54697960.0	2907043.0	2010.0	35667.0	1034349.0	178336.0
VIL_17_105	47045755.0	2347461.0	1418.0	45201.0	745823.0	113004.0
VIL_17_106	59108595.0	2783171.0	2461.0	45089.0	495982.0	202902.0
VIL_17_107	66195761.0	3505187.0	3100.0	32322.0	1131272.0	258577.0
VIL_17_110	48664572.0	2274040.0	2367.0	24113.0	795743.0	96454.0
VIL_17_111	38766502.0	1778322.0	2449.0	21617.0	389103.0	118893.0
VIL_17_120	59154467.0	2806825.0	2510.0	39596.0	732518.0	197978.0
VIL_17_121	65239690.0	3456174.0	7832.0	26622.0	745430.0	266225.0
VIL_17_141	50483130.0	2470341.0	2228.0	24139.0	627623.0	217254.0
VIL_17_150	75901378.0	4376981.0	5312.0	27062.0	947163.0	324742.0
